date,tweets
12/1/2010,2
1/1/2011,2
5/1/2011,3
6/1/2011,1
7/1/2011,3
8/1/2011,11
9/1/2011,20
10/1/2011,37
11/1/2011,89
12/1/2011,29
1/1/2012,38
2/1/2012,45
3/1/2012,43
4/1/2012,122
5/1/2012,112
6/1/2012,142
7/1/2012,79
8/1/2012,108
9/1/2012,195
10/1/2012,304
11/1/2012,381
12/1/2012,384
1/1/2013,334
2/1/2013,279
3/1/2013,339
4/1/2013,554
5/1/2013,590
6/1/2013,526
7/1/2013,821
8/1/2013,575
9/1/2013,671
10/1/2013,673
11/1/2013,698
12/1/2013,1056
1/1/2014,665
2/1/2014,674
3/1/2014,815
4/1/2014,977
5/1/2014,1126
6/1/2014,1086
7/1/2014,1172
8/1/2014,1162
9/1/2014,1098
10/1/2014,1054
11/1/2014,1184
12/1/2014,901
1/1/2015,1145
2/1/2015,1227
3/1/2015,1582
4/1/2015,1719
5/1/2015,906
6/1/2015,1017
7/1/2015,1146
8/1/2015,1711
9/1/2015,2024
10/1/2015,2389
11/1/2015,3479
12/1/2015,4337
1/1/2016,5424
2/1/2016,6904
3/1/2016,10072
4/1/2016,13911
5/1/2016,15222
